Date,Time,COOK AND PHILLIP AQI hourly AQI [index]
3/1/2020,7:00,57
3/1/2020,8:00,62
3/1/2020,9:00,63
3/1/2020,10:00,64
3/1/2020,11:00,64
3/1/2020,12:00,67
3/1/2020,13:00,69
3/1/2020,14:00,73
3/1/2020,15:00,74
3/1/2020,16:00,77
3/1/2020,17:00,76
3/1/2020,18:00,78
3/1/2020,19:00,79
3/1/2020,20:00,80
3/1/2020,21:00,84
3/1/2020,22:00,85
3/1/2020,23:00,87
3/1/2020,24:00:00,91
4/1/2020,1:00,89
4/1/2020,2:00,93
4/1/2020,3:00,93
4/1/2020,4:00,90
4/1/2020,5:00,93
4/1/2020,6:00,
4/1/2020,7:00,
4/1/2020,8:00,
4/1/2020,9:00,
4/1/2020,10:00,
4/1/2020,11:00,
4/1/2020,12:00,
4/1/2020,13:00,
4/1/2020,14:00,
4/1/2020,15:00,
4/1/2020,16:00,
4/1/2020,17:00,
4/1/2020,18:00,
4/1/2020,19:00,
4/1/2020,20:00,
4/1/2020,21:00,
4/1/2020,22:00,
4/1/2020,23:00,
4/1/2020,24:00:00,
5/1/2020,1:00,
5/1/2020,2:00,
5/1/2020,3:00,
5/1/2020,4:00,
5/1/2020,5:00,
5/1/2020,6:00,
5/1/2020,7:00,
5/1/2020,8:00,
5/1/2020,9:00,
5/1/2020,10:00,
5/1/2020,11:00,
5/1/2020,12:00,
5/1/2020,13:00,
5/1/2020,14:00,
5/1/2020,15:00,
5/1/2020,16:00,
5/1/2020,17:00,
5/1/2020,18:00,
5/1/2020,19:00,
5/1/2020,20:00,
5/1/2020,21:00,
5/1/2020,22:00,
5/1/2020,23:00,
5/1/2020,24:00:00,
6/1/2020,1:00,
6/1/2020,2:00,
6/1/2020,3:00,
6/1/2020,4:00,
6/1/2020,5:00,
6/1/2020,6:00,
6/1/2020,7:00,
6/1/2020,8:00,13
6/1/2020,9:00,15
6/1/2020,10:00,19
6/1/2020,11:00,20
6/1/2020,12:00,20
6/1/2020,13:00,25
6/1/2020,14:00,28
6/1/2020,15:00,23
6/1/2020,16:00,24
6/1/2020,17:00,24
6/1/2020,18:00,19
6/1/2020,19:00,17
6/1/2020,20:00,16
6/1/2020,21:00,14
6/1/2020,22:00,14
6/1/2020,23:00,14
6/1/2020,24:00:00,15
7/1/2020,1:00,15
7/1/2020,2:00,15
7/1/2020,3:00,51
7/1/2020,4:00,67
7/1/2020,5:00,64
7/1/2020,6:00,63
7/1/2020,7:00,60
7/1/2020,8:00,61
7/1/2020,9:00,57
7/1/2020,10:00,62
7/1/2020,11:00,62
7/1/2020,12:00,56
7/1/2020,13:00,52
7/1/2020,14:00,54
7/1/2020,15:00,56
7/1/2020,16:00,57
7/1/2020,17:00,58
7/1/2020,18:00,60
7/1/2020,19:00,64
7/1/2020,20:00,60
7/1/2020,21:00,59
7/1/2020,22:00,58
7/1/2020,23:00,60
7/1/2020,24:00:00,62
8/1/2020,1:00,67
8/1/2020,2:00,84
8/1/2020,3:00,204
8/1/2020,4:00,212
8/1/2020,5:00,241
8/1/2020,6:00,312
8/1/2020,7:00,407
8/1/2020,8:00,454
8/1/2020,9:00,412
8/1/2020,10:00,395
8/1/2020,11:00,322
8/1/2020,12:00,293
8/1/2020,13:00,303
8/1/2020,14:00,314
8/1/2020,15:00,325
8/1/2020,16:00,347
8/1/2020,17:00,369
8/1/2020,18:00,385
8/1/2020,19:00,399
8/1/2020,20:00,419
8/1/2020,21:00,440
8/1/2020,22:00,461
8/1/2020,23:00,455
8/1/2020,24:00:00,450
9/1/2020,1:00,458
9/1/2020,2:00,464
9/1/2020,3:00,469
9/1/2020,4:00,460
9/1/2020,5:00,444
9/1/2020,6:00,422
9/1/2020,7:00,394
9/1/2020,8:00,355
9/1/2020,9:00,319
9/1/2020,10:00,290
9/1/2020,11:00,264
9/1/2020,12:00,252
9/1/2020,13:00,241
9/1/2020,14:00,231
9/1/2020,15:00,217
9/1/2020,16:00,194
9/1/2020,17:00,170
9/1/2020,18:00,156
9/1/2020,19:00,141
9/1/2020,20:00,128
9/1/2020,21:00,110
9/1/2020,22:00,96
9/1/2020,23:00,81
9/1/2020,24:00:00,66
10/1/2020,1:00,53
10/1/2020,2:00,44
10/1/2020,3:00,37
10/1/2020,4:00,29
10/1/2020,5:00,29
10/1/2020,6:00,27
10/1/2020,7:00,29
10/1/2020,8:00,32
10/1/2020,9:00,35
10/1/2020,10:00,35
10/1/2020,11:00,37
10/1/2020,12:00,39
10/1/2020,13:00,43
10/1/2020,14:00,46
10/1/2020,15:00,49
10/1/2020,16:00,53
10/1/2020,17:00,57
10/1/2020,18:00,57
10/1/2020,19:00,57
10/1/2020,20:00,57
10/1/2020,21:00,61
10/1/2020,22:00,63
